iter,time,freq,theta,wall_position, q1,wallF1,TopWallF1,ball_cg_corrected, ball_centroid,PLL_amp, PLL_phase,q1_ke,ball_ke
8946,3.9924224996929895e-06,2504.890753,0.05657724595680232,1.294976e-07,1.294976e-07,-13.652,3.7021e+05,-6.91507e-07,2.99285006e-06,6.38761e-15,1.51422,0.00012759,1.7737e-06
17892,7.98484499938236e-06,2504.890753,0.1194408525754152,5.174934e-07,5.174934e-07,-13.841,3.7021e+05,-9.35467e-07,2.78228734e-06,5.10511e-14,1.4828,0.00050861,7.0845e-06
26838,1.197726749907173e-05,2504.890753,0.1823044591940247,1.162724e-06,1.162724e-06,-14.025,3.7021e+05,-1.34255e-06,2.42418023e-06,2.10338e-13,1.44948,0.0011382,1.5886e-05
35784,1.59696899987638e-05,2504.890753,0.24516806581265319,2.063191e-06,2.063191e-06,-14.075,3.7021e+05,-1.91252e-06,1.90893598e-06,6.10994e-13,1.41475,0.0020089,2.8096e-05
44730,1.9962112498468325e-05,2504.890753,0.30803167243150137,3.216187e-06,3.216187e-06,-13.996,3.7021e+05,-2.64392e-06,1.23560806e-06,1.42946e-12,1.3791,0.0031103,4.3521e-05
53676,2.395453499817285e-05,2504.890753,0.3708952790503495,4.618245e-06,4.618245e-06,-14.109,3.7021e+05,-3.53558e-06,4.03493617e-07,2.89087e-12,1.34289,0.0044291,6.2121e-05
62622,2.7946957497877375e-05,2504.890753,0.4337588856691977,6.265201e-06,6.265201e-06,-13.846,3.7021e+05,-4.58466e-06,-5.84000673e-07,5.26785e-12,1.30633,0.0059502,8.3382e-05
71568,3.193937999757111e-05,2504.890753,0.496622492287922,8.152214e-06,8.152214e-06,-13.859,3.7021e+05,-5.78821e-06,-1.7320095e-06,8.87903e-12,1.26955,0.0076553,0.00010773
80514,3.5931802497245324e-05,2504.890753,0.5594860989062928,1.027373e-05,1.027373e-05,-13.17,3.7021e+05,-7.1429e-06,-3.03318316e-06,1.40873e-11,1.23262,0.0095256,0.00013368
89460,3.992422499691954e-05,2504.890753,0.6223497055246635,1.26236e-05,1.26236e-05,-12.813,3.7021e+05,-8.64412e-06,-4.48588884e-06,2.12979e-11,1.1956,0.011539,0.00016185
